,600519.SS,000858.SZ,601318.SS,600036.SS,600900.SS,600276.SS,601012.SS,300750.SZ,600887.SS,002415.SZ
600519.SS,1.0,0.822526811854625,0.5519749476104819,0.5159024939733107,0.1866363378522868,0.3622230405431064,0.3502497709177445,0.35850323079412594,0.6329249978740962,0.39985412819051275
000858.SZ,0.822526811854625,1.0,0.5505424744768074,0.4996474571831187,0.134974121870855,0.40570948204483376,0.37985816087597457,0.3707511545995123,0.636924077558211,0.4465108420161739
601318.SS,0.5519749476104819,0.5505424744768074,1.0,0.681439735760835,0.28220450962845217,0.32618437396580113,0.288718197232918,0.32207342361822766,0.5272622223158918,0.40067736379096164
600036.SS,0.5159024939733107,0.4996474571831187,0.681439735760835,1.0,0.2767205138938612,0.23530747023855822,0.20088767019512815,0.2383775068859617,0.4510917374574534,0.30658413450167854
600900.SS,0.1866363378522868,0.134974121870855,0.28220450962845217,0.2767205138938612,1.0,0.06614331255711421,-0.04498403444493866,-0.0002975890863756361,0.2284728373489395,0.005862779014719795
600276.SS,0.3622230405431064,0.40570948204483376,0.32618437396580113,0.23530747023855822,0.06614331255711421,1.0,0.2791173398527692,0.2976419724902821,0.3448681736937658,0.35072089448535076
601012.SS,0.3502497709177445,0.37985816087597457,0.288718197232918,0.20088767019512815,-0.04498403444493866,0.2791173398527692,1.0,0.35303552379477837,0.3242428433296785,0.33570776260974505
300750.SZ,0.35850323079412594,0.3707511545995123,0.32207342361822766,0.2383775068859617,-0.0002975890863756361,0.2976419724902821,0.35303552379477837,1.0,0.2873213077353055,0.3410930588698488
600887.SS,0.6329249978740962,0.636924077558211,0.5272622223158918,0.4510917374574534,0.2284728373489395,0.3448681736937658,0.3242428433296785,0.2873213077353055,1.0,0.36329879458336767
002415.SZ,0.39985412819051275,0.4465108420161739,0.40067736379096164,0.30658413450167854,0.005862779014719795,0.35072089448535076,0.33570776260974505,0.3410930588698488,0.36329879458336767,1.0
