,600519.SS,000858.SZ,601318.SS,600036.SS,600900.SS,600276.SS,601012.SS,300750.SZ,600887.SS,002415.SZ
600519.SS,0.00023616113944982498,0.0002398857298276999,0.00014429295323431873,0.00013396782206577458,3.12679714544428e-05,0.00011565123624131371,0.00014249019552527083,0.0001722990033696064,0.00014555784298345966,0.00011688943777252067
000858.SZ,0.0002398857298276999,0.00036016396998063925,0.00017773072005159254,0.00016022949570990177,2.7925433774328507e-05,0.000159968797524396,0.00019084223688606807,0.0002200483509639934,0.00018089099337685436,0.00016119501571482228
601318.SS,0.00014429295323431873,0.00017773072005159254,0.00028936305101390285,0.00019587438401257498,5.233410142842248e-05,0.00011528018890910743,0.00013001653852778535,0.00017134123820749874,0.00013422312250271567,0.00012965396808899395
600036.SS,0.00013396782206577458,0.00016022949570990177,0.00019587438401257498,0.0002855336544965751,5.097641529503927e-05,8.261032992895114e-05,8.986381228269105e-05,0.00012597355893281047,0.00011407032234005724,9.85479958164663e-05
600900.SS,3.12679714544428e-05,2.7925433774328507e-05,5.233410142842248e-05,5.097641529503927e-05,0.00011884983130022098,1.4981497149027465e-05,-1.2982567598074661e-05,-1.0146161214335221e-07,3.7274601101442116e-05,1.2158283821112695e-06
600276.SS,0.00011565123624131371,0.000159968797524396,0.00011528018890910743,8.261032992895114e-05,1.4981497149027465e-05,0.0004316581845275115,0.00015351814427881966,0.00019339695754529366,0.00010722652995289044,0.00013861208551107124
601012.SS,0.00014249019552527083,0.00019084223688606807,0.00013001653852778535,8.986381228269105e-05,-1.2982567598074661e-05,0.00015351814427881966,0.0007008189062476766,0.00029228517390309357,0.0001284554244292057,0.00016905723285566868
300750.SZ,0.0001722990033696064,0.0002200483509639934,0.00017134123820749874,0.00012597355893281047,-1.0146161214335221e-07,0.00019339695754529366,0.00029228517390309357,0.0009780722731100849,0.00013447218224152461,0.00020292138754295517
600887.SS,0.00014555784298345966,0.00018089099337685436,0.00013422312250271567,0.00011407032234005724,3.7274601101442116e-05,0.00010722652995289044,0.0001284554244292057,0.00013447218224152461,0.0002239537243364649,0.00010342191361352333
002415.SZ,0.00011688943777252067,0.00016119501571482228,0.00012965396808899395,9.85479958164663e-05,1.2158283821112695e-06,0.00013861208551107124,0.00016905723285566868,0.00020292138754295517,0.00010342191361352333,0.0003618586308211749
