Date,Mkt-RF,SMB,HML,RF
2022-01-31,-0.0616,-0.0593,0.1286,0.0
2022-02-28,-0.0227999999999999,0.0216,0.0306,0.0
2022-03-31,0.0308,-0.0155,-0.019,0.0
2022-04-30,-0.0941,-0.0135,0.0617999999999999,0.0
2022-05-31,-0.0034,-0.0184,0.0843999999999999,0.0003
2022-06-30,-0.084,0.0207,-0.06,0.0006
2022-07-31,0.0957,0.0283999999999999,-0.0415,0.0008
2022-08-31,-0.0377,0.0141,0.0018,0.0019
2022-09-30,-0.0934,-0.0076,0.0003,0.0019
2022-10-31,0.0785,0.0001,0.0797,0.0023
2022-11-30,0.0465,-0.0356999999999999,0.0148,0.0029
2022-12-31,-0.0638,-0.0076,0.0134,0.0033
2023-01-31,0.0661,0.0501,-0.0394,0.0034999999999999
2023-02-28,-0.0256999999999999,0.0105,-0.008,0.0034
2023-03-31,0.0248,-0.0548,-0.0905,0.0036
2023-04-30,0.0062,-0.0337,-0.0012,0.0034999999999999
2023-05-31,0.0034,0.016,-0.0779,0.0036
2023-06-30,0.0646,0.0149,-0.0013,0.004
2023-07-31,0.0321,0.0214,0.0401999999999999,0.0045
2023-08-31,-0.0236,-0.0304,-0.0129,0.0045
2023-09-30,-0.0523,-0.0247,0.0147,0.0043
2023-10-31,-0.0315,-0.0385999999999999,0.0021,0.0046999999999999
2023-11-30,0.0888,-0.0014,0.0178,0.0044
2023-12-31,0.0484999999999999,0.0628,0.0494,0.0043
2024-01-31,0.0073,-0.0504999999999999,-0.0236,0.0046999999999999
2024-02-29,0.0507,-0.0022,-0.0347,0.0042
2024-03-31,0.0283999999999999,-0.0248,0.0414,0.0043
2024-04-30,-0.0465,-0.0237,-0.005,0.0046999999999999
2024-05-31,0.0433,0.0056,-0.0135,0.0044
2024-06-30,0.0279999999999999,-0.0302,-0.0331,0.0040999999999999
2024-07-31,0.0121999999999999,0.0679,0.0559999999999999,0.0045
2024-08-31,0.016,-0.035,-0.011,0.0048
2024-09-30,0.0172,-0.0012,-0.0277,0.004
2024-10-31,-0.01,-0.0096,0.0089,0.0039
2024-11-30,0.0649,0.0454,0.0029,0.004
2024-12-31,-0.0317,-0.027,-0.0298,0.0037
2025-01-31,0.0279999999999999,-0.0195,0.0166,0.0037
2025-02-28,-0.0243999999999999,-0.0578,0.0487999999999999,0.0033
2025-03-31,-0.0639,-0.0274,0.0294,0.0034
2025-04-30,-0.0084,-0.0054,-0.0336,0.0034999999999999
2025-05-31,0.0605999999999999,0.0067,-0.0296,0.0038
2025-06-30,0.0486,0.008,-0.0166,0.0034
2025-07-31,0.0197999999999999,0.003,-0.0132,0.0034
2025-08-31,0.0184,0.038,0.0446,0.0038
2025-09-30,0.0339,-0.019,-0.0093999999999999,0.0033
2025-10-31,0.0196,-0.0081999999999999,-0.0279999999999999,0.0037
2025-11-30,-0.0013,0.0054,0.0356999999999999,0.003
2025-12-31,-0.0036,-0.0103,0.0236,0.0034
