Date,600519.SS,000858.SZ,601318.SS,600036.SS,600900.SS,600276.SS,601012.SS,300750.SZ,600887.SS,002415.SZ,CSI300,MKT,SMB,HML,RF
2022-01-04,2051.23,223.56,51.0,48.35,22.84,50.39,84.86,568.88,40.7,52.41,4917.77,-0.0027,-0.0081,0.0364,0.0
2022-01-05,2024.0,223.75,52.07,49.05,22.79,50.92,81.47,547.5,41.7,51.33,4868.12,-0.0226,-0.0146,0.0258,0.0
2022-01-06,1982.22,219.48,51.3,48.15,22.01,50.11,80.55,541.47,39.98,49.97,4818.23,0.0,0.0021,0.0176,0.0
2022-01-07,1942.0,217.66,52.94,49.05,22.16,50.88,80.27,539.9,40.13,49.87,4822.37,-0.0049,-0.0132,0.0202,0.0
2022-01-10,1966.0,214.96,53.08,49.23,22.4,51.12,79.7,538.4,41.03,50.28,4844.05,-0.0014,-0.0024,-0.0026,0.0
2022-01-11,1940.55,213.36,52.86,49.85,22.5,50.18,77.98,536.7,39.82,49.7,4797.77,0.0108,-0.0009,-0.0027,0.0
2022-01-12,1967.0,217.92,52.5,49.76,22.27,49.59,80.2,565.04,39.92,49.25,4845.58,0.0013,-0.0089,0.0052,0.0
2022-01-13,1877.39,208.9,52.3,49.34,22.36,47.48,79.25,565.0,39.0,48.12,4765.92,-0.0155,0.0032,0.0239,0.0
2022-01-14,1867.0,207.2,51.1,48.02,22.45,46.65,79.25,577.4,38.86,48.3,4726.73,0.0008,0.0018,0.0055,0.0
2022-01-17,1861.61,208.84,50.94,48.58,22.62,46.41,81.01,606.85,39.16,49.0,4767.28,0.0008,0.0018,0.0055,0.0
2022-01-18,1892.27,211.49,51.23,49.01,22.86,46.21,79.51,586.8,39.42,50.73,4813.35,-0.0206,-0.0104,0.0138,0.0
2022-01-19,1912.0,210.8,51.45,49.7,22.95,45.73,78.51,569.99,39.31,50.16,4780.38,-0.0102,-0.0032,-0.0067,0.0
2022-01-20,1969.52,213.22,53.4,51.37,23.08,45.69,78.2,569.13,40.06,49.75,4823.51,-0.0115,-0.0086,-0.0023,0.0
2022-01-21,1984.99,217.26,53.55,51.82,22.98,44.94,76.0,569.49,40.06,49.49,4779.31,-0.0209,0.0028,0.0046999999999999,0.0
2022-01-24,1950.2,215.07,53.13,51.85,22.85,43.29,76.54,580.99,39.4,48.99,4786.74,0.0053,0.0181,-0.0025,0.0
2022-01-25,1943.0,208.36,51.2,50.9,22.44,42.82,74.45,565.6,38.66,48.25,4678.45,-0.0141999999999999,-0.0060999999999999,0.0279999999999999,0.0
2022-01-26,1955.0,206.05,51.83,51.0,22.57,42.09,77.31,587.5,38.88,49.23,4712.31,-0.0029,-0.0107,0.001,0.0
2022-01-27,1965.0,203.4,50.79,50.77,22.38,41.09,74.43,574.99,38.12,48.23,4619.88,-0.0076,-0.0165,0.0083,0.0
