Ticker,Name,N,Alpha,Alpha Annualized,Alpha t,Alpha p,Alpha Sig,Beta_MKT,Beta_MKT p,Beta_SMB,Beta_SMB p,Beta_HML,Beta_HML p,R2,Adjusted R2
600900.SS,长江电力,698,0.00010605233662915994,0.026725188830548304,0.2355258238676968,0.8138701209869397,,0.04393500903273194,0.33303433294973006,-0.03701215080830607,0.5831982589141671,-0.0060933857783499155,0.9075776438954084,0.0017817525767808151,-0.002533311893348378
601318.SS,中国平安,698,-7.176351514357848e-05,-0.018084405816181776,-0.10428295938381738,0.9169749300505539,,0.07174168641316121,0.30103009779575995,0.04096968039688806,0.6910359451483297,-0.029856117883419554,0.7097555989756887,0.0037003770931985924,-0.0006063936110094481
600519.SS,贵州茅台,698,-0.0003895518560373631,-0.0981670677214155,-0.6143663294862906,0.5391746308795258,,0.018069442834732143,0.7773216518730479,-0.002469799497343342,0.9792532818202536,-0.10662322117112241,0.14943343851763727,0.004276841891818761,-2.7436889628695837e-05
600887.SS,伊利股份,698,-0.0004956778509457558,-0.12491081843833048,-0.8212314239712313,0.4117964724555577,,-0.024478161458801537,0.6873463181354451,0.06590237870431245,0.4661135494655513,-0.01110112282180042,0.8746261756660215,0.0008218548460362518,-0.0034973590379145936
600036.SS,招商银行,698,-0.0006249956076401661,-0.15749889312532186,-0.8966857975740384,0.3701975348666855,,-0.011664658550108155,0.8680892471985319,0.06758650225239929,0.5174506531595325,-0.056415662776228115,0.48751693763014836,0.0014825015759751814,-0.0028338564863765736
600276.SS,恒瑞医药,698,-0.000627930360696533,-0.15823845089552632,-0.7936604782569732,0.42766438561240816,,0.056605322985840374,0.47775952016608536,-0.05980375625918191,0.6138404604077421,-0.07856663552030202,0.3943827680050117,0.0028486978854784795,-0.0014617544291375406
000858.SZ,五粮液,698,-0.0008834549674791425,-0.2226306518047439,-1.1189207599824436,0.26356107324037586,,0.04742063946401842,0.5511912466974354,0.04671786219235735,0.6928355528320123,-0.018698766562007967,0.8390026572743711,0.001524216991034777,-0.0027919607453152917
002415.SZ,海康威视,698,-0.0011412129748531988,-0.2875856696630061,-1.491509543818598,0.13628215791919385,,-0.058489625942074644,0.4481573589548543,0.07522657521234834,0.5116356213910453,-0.1113081728350898,0.21227837763747545,0.002869371523644748,-0.001440991423659277
300750.SZ,宁德时代,698,-0.0012735442221874223,-0.3209331439912304,-0.9913213260089261,0.32187420107412823,,0.19550078735725898,0.1312941673239316,-0.14243382334796417,0.45926828830571476,-0.15392102429648707,0.3041983780092691,0.0075298695321647235,0.003239652829854278
601012.SS,隆基绿能,698,-0.0023781168470722643,-0.5992854454622106,-2.24125674344324,0.025324816712554182,**,0.03411497360881197,0.749671416507832,0.1728200246431796,0.27706717792381624,-0.07528112042310363,0.5427976199054867,0.0038111987224092037,-0.0004950929257647729
