来源文件：output/descriptive_stats/stock_return_correlation_matrix.csv
====================================================================================================
           600519.SS  000858.SZ  601318.SS  600036.SS  600900.SS  600276.SS  601012.SS  300750.SZ  600887.SS  002415.SZ
600519.SS   1.000000   0.822527   0.551975   0.515902   0.186636   0.362223   0.350250   0.358503   0.632925   0.399854
000858.SZ   0.822527   1.000000   0.550542   0.499647   0.134974   0.405709   0.379858   0.370751   0.636924   0.446511
601318.SS   0.551975   0.550542   1.000000   0.681440   0.282205   0.326184   0.288718   0.322073   0.527262   0.400677
600036.SS   0.515902   0.499647   0.681440   1.000000   0.276721   0.235307   0.200888   0.238378   0.451092   0.306584
600900.SS   0.186636   0.134974   0.282205   0.276721   1.000000   0.066143  -0.044984  -0.000298   0.228473   0.005863
600276.SS   0.362223   0.405709   0.326184   0.235307   0.066143   1.000000   0.279117   0.297642   0.344868   0.350721
601012.SS   0.350250   0.379858   0.288718   0.200888  -0.044984   0.279117   1.000000   0.353036   0.324243   0.335708
300750.SZ   0.358503   0.370751   0.322073   0.238378  -0.000298   0.297642   0.353036   1.000000   0.287321   0.341093
600887.SS   0.632925   0.636924   0.527262   0.451092   0.228473   0.344868   0.324243   0.287321   1.000000   0.363299
002415.SZ   0.399854   0.446511   0.400677   0.306584   0.005863   0.350721   0.335708   0.341093   0.363299   1.000000
